Date,Platform,Region,Age_Group,Device_Type,Content_Type,Followers,Likes,Comments,Shares,Impressions,Reach,Clicks,Engagement_Rate,Growth_Rate,Hashtag,Post_ID
2024-12-31,Instagram,USA,55+,Web,Image,146748,15575,1531,673,13863,66369,2625,9.0,9.77,#Reels,1
2025-01-17,Twitter,UK,13-18,Web,Reel,29741,16787,3946,1632,1841574,1097110,1236,3.38,7.98,#Reels,2
2024-11-18,Facebook,Canada,45-54,Android,Short,90480,12011,2563,2832,1634476,298698,3340,18.67,11.9,#Digital,3
2025-04-21,TikTok,Canada,45-54,Web,Short,128874,3953,1289,1564,847076,254844,3972,10.0,1.23,#Tech,4
2024-04-08,Facebook,USA,13-18,Web,Reel,170875,1195,279,1047,1118414,1761349,700,0.92,11.43,#Trending,5
2024-08-18,LinkedIn,UAE,25-34,Tablet,Short,1751,14086,3505,1906,760160,737757,2180,2.91,9.83,#Digital,6
2024-01-18,Instagram,Canada,18-24,Tablet,Carousel,82469,17591,1066,1706,646218,1415940,4073,10.37,0.19,#Tech,7
2024-03-24,TikTok,India,45-54,Tablet,Carousel,19400,13406,729,238,1085382,642570,739,9.31,6.14,#Reels,8
2024-04-16,TikTok,Canada,45-54,Android,Image,121313,2917,3816,1690,348752,105909,194,17.32,1.07,#Marketing,9
2024-05-03,Instagram,UAE,18-24,Tablet,Carousel,80760,19112,2887,1877,827473,1166980,2045,17.47,1.85,#Reels,10
2024-02-27,Instagram,India,45-54,Web,Carousel,180951,14495,3522,681,1846000,641455,353,19.08,5.19,#AI,11
2024-08-02,Facebook,Australia,35-44,iOS,Reel,103120,18739,2501,2921,253894,1388783,4406,9.76,2.25,#AI,12
2024-08-13,YouTube,Canada,35-44,Web,Short,146422,19347,1506,2230,1183458,910358,1270,19.16,10.77,#Tech,13
2024-04-06,Instagram,Canada,45-54,iOS,Image,163834,10345,4014,57,1155775,662192,3228,6.48,1.28,#Shorts,14
2024-04-23,Twitter,UK,25-34,Tablet,Video,51865,8542,4666,632,452195,1632134,3997,1.7,7.09,#Marketing,15
2024-05-06,YouTube,Australia,35-44,Web,Video,99283,13999,3600,1630,1710998,1061452,1308,11.01,1.98,#Viral,16
2024-02-17,TikTok,USA,25-34,Web,Reel,139519,10993,921,1905,702973,1593745,3389,4.82,7.21,#Tech,17
2024-03-14,Facebook,USA,13-18,iOS,Image,15667,9298,3321,1192,477506,361033,578,19.15,7.62,#AI,18
2024-02-02,Instagram,India,18-24,Android,Carousel,55666,3567,4991,1548,248523,489494,3243,9.72,3.08,#Reels,19
2025-03-06,LinkedIn,Canada,45-54,Web,Carousel,40677,18007,3151,1915,717677,109719,1950,4.27,10.75,#AI,20
2024-08-12,Instagram,Canada,35-44,Web,Video,95056,11345,1201,399,522191,520362,562,4.14,9.44,#AI,21
2024-04-21,LinkedIn,UAE,55+,Android,Carousel,43761,16769,1691,2918,1293607,1404536,3276,4.33,5.95,#Tech,22
2025-02-13,YouTube,Canada,25-34,Android,Image,161727,3826,1157,64,1789428,1713155,4227,2.17,10.01,#Tech,23
2024-12-05,Facebook,UK,45-54,Android,Carousel,111666,11501,4388,22,771812,1308181,665,7.98,2.86,#Marketing,24
2024-11-30,TikTok,USA,13-18,Tablet,Video,45320,19742,3492,1555,180721,1086262,1892,7.26,7.49,#Shorts,25
2024-09-10,YouTube,Canada,13-18,Web,Carousel,176994,15667,2004,1942,276861,738620,1156,8.93,1.21,#Viral,26
2025-02-24,Instagram,Australia,35-44,Tablet,Image,77940,1630,2697,1139,646154,1549254,2825,12.7,6.22,#Reels,27
2024-04-06,Instagram,USA,45-54,iOS,Image,169644,3781,3966,997,200199,890547,2680,10.45,4.16,#Tech,28
2024-07-27,YouTube,UAE,45-54,Web,Carousel,35467,15996,952,1621,472678,1642028,945,9.87,3.5,#AI,29
